token_ort,token_ipa
abductors,əbˈdəktɝz
abducts,æbˈdəkts
abdul,æbˈduɫ
abdulaziz,æbˌduɫəˈziz
abdulla,ɑbˈduɫə
abdullah,ˌæbˈdəɫə
abe,eɪb
abed,əˈbɛd
abedi,əˈbɛdi
abee,əˈbi
abel,eɪbəɫ
abela,ɑˈbɛɫə
abelard,æbɪɫɝd
abele,əˈbɛɫ
abeles,eɪbəˌɫiz
abeles,əˈbɛɫz
abell,eɪbəɫ
abella,əˈbɛɫə
abeln,æbɪɫn
abelow,æbəɫoʊ
abels,eɪbəɫz
abelson,æbɪɫsən
abend,æbɛnd
abend,əˈbɛnd
abendroth,æbɪndɹɔθ
aber,eɪbɝ
abercrombie,ˌæbɝˈkɹɑmbi
aberdeen,æbɝˌdin
aberford,eɪbɝfɝd
aberg,æbɝɡ
aberle,æbɝəɫ
aberle,æbɝɫ
abermin,æbɝmɪn
abernathy,æbɝˌnæθi
abernethy,æbɝˌnɛθi
aberrant,æˈbɛɹənt
aberration,ˌæbɝˈeɪʃən
aberrational,ˌæbɝˈeɪʃənəɫ
aberrations,ˌæbɝˈeɪʃənz
abert,æbɝt
abet,əˈbɛt
abetted,əˈbɛtɪd
abetting,əˈbɛtɪŋ
abex,eɪbɛks
abeyance,əˈbeɪəns
abeyta,ɑˈbeɪtə
abhor,æbˈhɔɹ
abhorred,əbˈhɔɹd
abhorrence,əbˈhɔɹəns
abhorrent,æbˈhɔɹənt
abhors,əbˈhɔɹz
abiam,eɪbiəm
abiam's,eɪbiəmz
abid,eɪbɪd
abide,əˈbaɪd
abided,əˈbaɪdɪd
abides,əˈbaɪdz
abiding,əˈbaɪdɪŋ
abidjan,æbɪˈdʒɑn
abie,æbi
abigail,æbəˌɡeɪɫ
abila,ɑˈbiɫə
abilene,æbɪˌɫin
abilities,əˈbɪɫəˌtiz
ability,əˈbɪɫəˌti
abimael,ˌæbɪˈmeɪɫ
abimaels,ˌæbɪˈmeɪɫz
abingdon,æbɪŋdən
abington,æbɪŋtən
abio,ɑbioʊ
abiola,ˌɑbiˈoʊɫə
abiola's,ˌɑbiˈoʊɫəz
abiomed,eɪˈbiəmɛd
abiquiu,əˈbɪkju
abitibi,ˌæbɪˈtibi
abitz,æbɪts
abject,æbdʒɛkt
abkhazia,æbˈkæzjə
abkhazia,æbˈkɑzjə
abkhazian,æbˈkæziən
abkhazian,æbˈkæzjən
abkhazian,æbˈkɑziən
abkhazian,æbˈkɑzjən
abkhazians,æbˈkæziənz
abkhazians,æbˈkɑziənz
ablate,ˌəˈbɫeɪt
ablation,ˌəˈbɫeɪʃən
ablaze,əˈbɫeɪz
able,eɪbəɫ
able-bodied,eɪbəɫˈbɑdid
abled,eɪbəɫd
abler,eɪbəɫɝ
abler,eɪbɫɝ
ables,eɪbəɫz
ablest,eɪbəɫst
ablest,eɪbɫəst
abloom,əˈbɫum
ablution,əˈbɫuʃən
ablutions,əˈbɫuʃənz
ably,eɪbɫi
abnegation,ˌæbnɛˈɡeɪʃən
abner,æbnɝ
abney,æbni
abnormal,æbˈnɔɹməɫ
abnormalities,ˌæbnɔɹˈmæɫətiz
abnormality,ˌæbnɔɹˈmæɫəti
abnormally,æbˈnɔɹməɫi
abo,ɑboʊ
abo's,ɑboʊz
aboard,əˈbɔɹd
abode,əˈboʊd
abohalima,æbəhəˈɫimə
abolish,əˈbɑɫɪʃ
abolished,əˈbɑɫɪʃt
abolishes,əˈbɑɫɪʃɪz
abolishing,əˈbɑɫɪʃɪŋ
abolition,ˌæbəˈɫɪʃən
abolitionism,ˌæbəˈɫɪʃəˌnɪzəm
abolitionist,ˌæbəˈɫɪʃənəst
abolitionists,ˌæbəˈɫɪʃənəsts
abominable,əˈbɑmənəbəɫ
abomination,əˌbɑməˈneɪʃən
abominations,əˌbɑməˈneɪʃənz
abood,əˈbud
aboodi,əˈbudi
abor,əˈbɔɹ
aboriginal,ˌæbɝˈɪdʒənəɫ
aborigine,ˌæbɝˈɪdʒəni
aborigines,ˌæbɝˈɪdʒəniz
aborn,əˈbɔɹn
abort,əˈbɔɹt
aborted,əˈbɔɹtɪd
abortifacient,əˌbɔɹtəˈfeɪʃənt
abortifacients,əˌbɔɹtəˈfeɪʃənts
aborting,əˈbɔɹtɪŋ
abortion,əˈbɔɹʃən
abortionist,əˈbɔɹʃənɪst
abortionists,əˈbɔɹʃənɪsts
abortions,əˈbɔɹʃənz
abortive,əˈbɔɹtɪv
aborts,əˈbɔɹts
abott,əˈbɑt
abou,əˈbu
aboud,ɑˈbud
abouhalima,ˌɑbuhɑˈɫimə
abouhalima's,ˌɑbuhɑˈɫiməz
abound,əˈbaʊnd
abounded,əˈbaʊndɪd
abounding,əˈbaʊndɪŋ
abounds,əˈbaʊndz
about,əˈbaʊt
about's,əˈbaʊts
above,əˈbəv
above's,əˈbəvz
aboveboard,əˈbəvˌbɔɹd
abplanalp,æbpɫənæɫp
abra,ɑbɹə
abracadabra,ˌæbɹəkəˈdæbɹə
abrade,æˈbɹeɪd
abraded,æˈbɹeɪdɪd
abrades,æˈbɹeɪdz
abraham,eɪbɹəˌhæm
abrahamian,ˌæbɹəˈheɪmiən
abrahams,eɪbɹəˌhæmz
abrahamsen,æbɹəˈhæmsən
abrahamson,əˈbɹæhəmsən
abram,əˈbɹæm
abram's,eɪbɹəmz
abramczyk,ɑbɹəmtʃɪk
abramo,ɑˈbɹɑmoʊ
abramovitz,əˈbɹɑməvɪts
abramowicz,əˈbɹɑməvɪtʃ
abramowitz,əˈbɹɑməwɪts
abrams,eɪbɹəmz
abrams's,eɪbɹəmzɪz
abramson,eɪbɹəmsən
abrasion,əˈbɹeɪʒən
abrasions,əˈbɹeɪʒənz
abrasive,əˈbɹeɪsɪv
abrasives,əˈbɹeɪsɪvz
abraxa,əˈbɹæksə
abraxa's,əˈbɹæksəz
abraxas,əˈbɹæksəz
abreast,əˈbɹɛst
abrego,ɑˈbɹɛɡoʊ
abreu,əˈbɹu
abridge,əˈbɹɪdʒ
abridged,əˈbɹɪdʒd
abridgement,əˈbɹɪdʒmənt
abridges,əˈbɹɪdʒəz
abridging,əˈbɹɪdʒɪŋ
abril,əˈbɹɪɫ
abroad,əˈbɹɔd
abrogate,æbɹəˌɡeɪt
abrogated,æbɹəˌɡeɪtɪd
abrogating,æbɹəˌɡeɪtɪŋ
abrogation,ˌæbɹəˈɡeɪʃən
abrol,əˈbɹoʊɫ
abron,əˈbɹɑn
abrupt,əˈbɹəpt
abruptly,əˈbɹəptɫi
abruptness,əˈbɹəptnəs
abrutyn,eɪbɹutɪn
abruzzese,ɑbɹutˈseɪzi
abruzzo,ɑˈbɹuzoʊ
abs,æbz
abs,eɪˈbiˈɛs
absalom,æbsəɫəm
absaraka,æbˈsɑɹəkə
abscam,æbskæm
abscess,æbˌsɛs
abscond,æbˈskɑnd
absconded,æbˈskɑndɪd
absconding,æbˈskɑndɪŋ
absconds,æbˈskɑndz
absecon,æbsəkɔn
absence,æbsəns
absences,æbsənsɪz
absent,æbsənt
absentee,ˌæbsənˈti
absenteeism,ˌæbsənˈtiɪzəm
absentees,ˌæbsənˈtiz
absentia,æbˈsɛnʃə
absher,æbʃɝ
abshier,æbʃiɝ
abshire,æbˌʃaɪɹ
absinthe,æbsɪnθ
abso,æbsoʊ
absolom,æbsəɫəm
absolut,ˌæbsəˈɫut
absolut's,ˌæbsəˈɫuts
absolute,æbsəˌɫut
absolutely,ˌæbsəˈɫutɫi
absoluteness,æbsəˌɫutnəs
absolutes,æbsəˌɫuts
absolution,ˌæbsəˈɫuʃən
absolutism,æbsəˌɫuˌtɪzəm
absolutist,æbsəˈɫutɪst
absolve,æbˈzɑɫv
absolve,əbˈzɑɫv
absolved,æbˈzɑɫvd
absolved,əbˈzɑɫvd
absolves,æbˈzɑɫvz
absolves,əbˈzɑɫvz
absolving,æbˈzɑɫvɪŋ
absolving,əbˈzɑɫvɪŋ
absorb,əbˈzɔɹb
absorbed,əbˈzɔɹbd
absorbency,əbˈzɔɹbənsi
absorbent,əbˈzɔɹbənt
absorber,əbˈzɔɹbɝ
absorbers,əbˈzɔɹbɝz
absorbing,əbˈzɔɹbɪŋ
absorbs,əbˈzɔɹbz
absorption,əbˈsɔɹpʃən
absorption,əbˈzɔɹpʃən
abstain,æbˈsteɪn
abstain,əbˈsteɪn
abstained,æbˈsteɪnd
abstained,əbˈsteɪnd
abstaining,æbˈsteɪnɪŋ
abstaining,əbˈsteɪnɪŋ
abstention,æbˈstɛntʃən
abstention,əbˈstɛntʃən
abstentions,æbˈstɛntʃənz
abstentions,əbˈstɛntʃənz
abstinence,æbstənəns
abstinent,æbstənənt
abston,æbstən
abstract,æbˌstɹækt
abstract,æbˈstɹækt
abstracted,æbˌstɹæktɪd
abstraction,æbˈstɹækʃən
abstractions,æbˈstɹækʃənz
abstracts,æbstɹækts
abstruse,əbˈstɹus
absurd,əbˈsɝd
absurdist,əbˈsɝdɪst
absurdities,əbˈsɝdətiz
absurdity,əbˈsɝdəti
absurdly,əbˈsɝdɫi
abt,æbt
abt,eɪˈbiˈti
abts,æbts
abts,eɪˈbiˈtiˈɛs
abts,eɪˈbiˈtiz
abu,æbu
abudrahm,əˈbədɹəm
abuellah,əbˈwɛɫə
abuellah's,əbˈwɛɫəz
abuladze,ˌæbjuˈɫædzi
abundance,əˈbəndəns
abundant,əˈbəndənt
abundantly,əˈbəndəntɫi
aburto,əˈbʊɹˌtoʊ
aburto's,əˈbʊɹˌtoʊz
abuse,əbˈjus
abuse,əbˈjuz
abused,əbˈjuzd
abuser,əbˈjuzɝ
abusers,əbˈjuzɝz
abuses,əbˈjusɪz
abuses,əbˈjuzɪz
abusing,əbˈjuzɪŋ
abusive,əbˈjusɪv
abut,əˈbət
abuts,əˈbəts
abutted,əˈbətɪd
abutting,əˈbətɪŋ
abuzz,əˈbəz
abysmal,əˈbɪzməɫ
abysmally,əˈbɪzməɫi
abyss,əˈbɪs
abyssinia,æbˈsɪˌniə
abyssinian,æbˈsɪˌniən
abzug,æbˌzəɡ
abzug,æbˌzʊɡ
ac,eɪˈsi
aca,ækə
acacia,əˈkeɪʃə
academe,ækəˌdim
academia,ˌækəˈdimiə
academic,ˌækəˈdɛmɪk
academically,ˌækəˈdɛmɪkɫi
academician,ˌækədəˈmɪʃən
academicians,ˌækədəˈmɪʃənz
academicians,əˌkædəˈmɪʃənz
academics,ˌækəˈdɛmɪks
academies,əˈkædəmiz
academy,əˈkædəmi
academy's,əˈkædəmiz
acadia,əˈkeɪdiə
acampo,əˈkɑmpoʊ
acampora,əˈkæmpɝə
acampsia,əˈkæmpsjə
acantha,ɑˈkɑnðə
acapulco,ˌækəˈpʊɫkoʊ
acary,ækɝi
acc,ˌaɪˌsiˈsi
accardi,ɑˈkɑɹdi
accardo,ɑˈkɑɹdoʊ
accede,ækˈsid
acceded,ækˈsidɪd
accedes,ækˈsidz
acceding,ækˈsidɪŋ
accel,əkˈsɛɫ
accelerant,ækˈsɛɫɝənt
accelerants,ækˈsɛɫɝənts
accelerate,ækˈsɛɫɝˌeɪt
accelerated,ækˈsɛɫɝˌeɪtɪd
accelerates,ækˈsɛɫɝˌeɪts
accelerating,ækˈsɛɫɝˌeɪtɪŋ
acceleration,ˌækˌsɛɫɝˈeɪʃən
accelerator,ækˈsɛɫɝˌeɪtɝ
accelerators,ækˈsɛɫɝˌeɪtɝz
accelerometer,ækˌsɛɫɝˈɑmətɝ
accelerometers,ækˌsɛɫɝˈɑmətɝz
accent,ækˌsɛnt
accent,əkˈsɛnt
accented,æksɛntɪd
accenting,æksɛntɪŋ
accents,æksɛnts
accentuate,ækˈsɛntʃueɪt
accentuated,ækˈsɛntʃuˌeɪtɪd
accentuates,ækˈsɛntʃuˌeɪts
accentuating,ækˈsɛntʃuˌeɪtɪŋ
accenture,ækˈsɛntʃɝ
accept,ækˈsɛpt
accept,əkˈsɛpt
acceptability,əkˌsɛptəˈbɪɫəti
acceptable,ækˈsɛptəbəɫ
acceptable,əkˈsɛptəbəɫ
acceptably,ækˈsɛptəbɫi
acceptably,əkˈsɛptəbɫi
acceptance,ækˈsɛptəns
acceptance,əkˈsɛptəns
acceptances,ækˈsɛptənsɪz
accepted,ækˈsɛptɪd
accepted,əkˈsɛptɪd
accepting,ækˈsɛptɪŋ
accepting,əkˈsɛptɪŋ
accepts,ækˈsɛpts
access,ækˌsɛs
accessed,ækˌsɛst
accessibility,ˌæksɛsəˈbɪɫɪti
accessible,ækˈsɛsəbəɫ
accessing,ækˌsɛsɪŋ
accession,əkˈsɛʃən
accessories,ækˈsɛsɝiz
accessorize,ækˈsɛsɝˌaɪz
accessorized,ækˈsɛsɝˌaɪzd
accessory,ækˈsɛsɝi
accetta,ɑˈtʃɛtə
accident,æksədənt
accident's,æksədənts
accidental,ˌæksəˈdɛnəɫ
accidental,ˌæksəˈdɛntəɫ
accidentally,ˌæksəˈdɛnəɫi
accidentally,ˌæksəˈdɛntəɫi
accidently,æksədəntɫi
accidents,æksədənts
accion,ætʃiən
accival,æsɪˌvɑɫ
acclaim,əˈkɫeɪm
acclaim's,əˈkɫeɪmz
acclaimed,əˈkɫeɪmd
acclaiming,əˈkɫeɪmɪŋ
acclaims,əˈkɫeɪmz
acclamation,ˌækɫəˈmeɪʃən
acclimate,ækɫəˌmeɪt
acclimated,ækɫəˌmeɪtɪd
acclimation,ˌækɫəˈmeɪʃən
acco,ækoʊ
accokeek,ækoʊkik
accola,ɑˈkoʊɫə
accolade,ækəˌɫeɪd
accolades,ækəˌɫeɪdz
accomando,ɑkoʊˈmɑndoʊ
accommodate,əˈkɑməˌdeɪt
accommodated,əˈkɑməˌdeɪtɪd
accommodates,əˈkɑməˌdeɪts
accommodating,əˈkɑməˌdeɪtɪŋ
accommodation,əˌkɑməˈdeɪʃən
accommodations,əˌkɑməˈdeɪʃənz
accommodative,əˈkɑməˌdeɪtɪv
accompanied,əˈkəmpənid
accompanies,əˈkəmpəniz
accompaniment,əˈkəmpnimənt
accompaniment,əˈkəmpnɪmənt
accompaniments,əˈkəmpnimənts
accompaniments,əˈkəmpnɪmənts
accompanist,əˈkəmpənəst
accompany,əˈkəmpəni
accompanying,əˈkəmpəniɪŋ
accompli,ˌɑˈkɑmpɫi
accompli,əˈkɑmpɫi
accomplice,əˈkɑmpɫəs
accomplices,əˈkɑmpɫəsəz
accomplish,əˈkɑmpɫɪʃ
accomplished,əˈkɑmpɫɪʃt
accomplishes,əˈkɑmpɫɪʃɪz
accomplishing,əˈkɑmpɫɪʃɪŋ
accomplishment,əˈkɑmpɫɪʃmənt
accomplishments,əˈkɑmpɫɪʃmənts
accor,æˌkɔɹ
accor's,ækɝz
accord,əˈkɔɹd
accord's,əˈkɔɹdz
accordance,əˈkɔɹdəns
accorded,əˈkɔɹdɪd
according,əˈkɔɹdɪŋ
accordingly,əˈkɔɹdɪŋɫi
accordion,əˈkɔɹdiən
accordions,əˈkɔɹdiənz
accords,əˈkɔɹdz
accost,əˈkɔst
accosted,əˈkɑstɪd
accosting,əˈkɑstɪŋ
account,əˈkaʊnt
account's,əˈkaʊnts
accountability,əˈkaʊnəbɪɫɪti
accountability,əˈkaʊntəˌbɪɫɪti
accountable,əˈkaʊnəbəɫ
accountable,əˈkaʊntəbəɫ
accountancy,əˈkaʊntənsi
accountant,əˈkaʊntənt
accountant's,əˈkaʊntənts
accountants,əˈkaʊntənts
accountants',əˈkaʊntənts
accounted,əˈkaʊnəd
accounted,əˈkaʊntɪd
accountemp,əˈkaʊnˌtɛmp
accountemps,əˈkaʊnˌtɛmps
accounting,əˈkaʊnɪŋ
accounting,əˈkaʊntɪŋ
accounts,əˈkaʊnts
accouterment,əˈkutɝmənt
accouterments,əˈkutɝmənts
accoutrement,əˈkutɝmənt
accoutrements,əˈkutɝmənts
accra,ɑˌkɹɑ
accredit,əˌkɹɛdət
accreditation,əˌkɹɛdəˈteɪʃən
accreditations,əˌkɹɛdəˈteɪʃənz
accredited,əˈkɹɛdɪtɪd
accrediting,əˈkɹɛdətɪŋ
accreted,əˈkɹitɪd
accretion,əˈkɹiʃən
accrual,əˈkɹuəɫ
accruals,əˈkɹuəɫz
accrue,əˈkɹu
accrued,əˈkɹud
accrues,əˈkɹuz
accruing,əˈkɹuɪŋ
accu,ækju
accuhealth,ækjuˌhɛɫθ
accumulate,əkˈjumjəˌɫeɪt
accumulated,əkˈjumjəˌɫeɪtɪd
accumulates,əkˈjumjəˌɫeɪts
accumulating,əkˈjumjəˌɫeɪtɪŋ
accumulation,əkˌjumjəˈɫeɪʃən
accumulations,əkˌjumjəˈɫeɪʃənz
accumulative,əkˈjumjəˌɫeɪtɪv
accumulatively,əkˈjumjəˌɫeɪtɪvɫi
accumulatively,əkˈjumjəɫəˌtɪvɫi
accumulator,əkˈjumjəˌɫeɪtɝ
accumulators,əkˈjumjəˌɫeɪtɝz
accuracies,ækjɝəsiz
accuracy,ækjɝəsi
accurate,ækjɝət
accurately,ækjɝətɫi
accuray,ækjɝˌeɪ
accuray's,ækjɝˌeɪz
accuride,ækjɝˌaɪd
accursed,ˌæˈkɝst
accurso,ɑˈkʊɹsoʊ
accusation,ˌækjəˈzeɪʃən
accusation,ˌækjuˈzeɪʃən
accusations,ˌækjəˈzeɪʃənz
accusations,ˌækjuˈzeɪʃənz
accusative,əkˈjuzətɪv
accusatory,əkˈjuzəˌtɔɹi
accuse,əkˈjuz
accused,əkˈjuzd
accuser,əkˈjuzɝ
accusers,əkˈjuzɝz
accuses,əkˈjuzɪz
accusing,əkˈjuzɪŋ
accusingly,əkˈjuzɪŋɫi
accustom,əˈkəstəm
accustomed,əˈkəstəmd
accutane,ækjuˌteɪn
ace,eɪs
acecomm,eɪskɑm
aced,eɪst
acer,eɪsɝ
acerbic,əˈsɛɹbɪk
acero,əˈsɛɹoʊ
acero,əˈθɛɹoʊ
acero,əsˈjɛɹoʊ
acerra,əˈsɛɹə
aces,eɪsɪz
acetaminophen,əˌsitəˈmɪnəfən
acetate,æsəˌteɪt
acetic,əˈsɛtɪk
acetic,əˈsitɪk
aceto,ɑˈsɛtoʊ
acetochlor,ɑˈsɛtoʊˌkɫɔɹ
acetone,æsəˌtoʊn
acetosyringone,əˌsɛtoʊˈsɪɹɪŋɡɔn
acetylcholine,əˌsɛtəɫˈkoʊɫin
acetylcholine,əˌsitəɫˈkoʊɫin
acetylene,əˈsɛtəˌɫin
acevedo,æsəˈveɪdoʊ
aceves,ɑˈseɪvɛs
acey,eɪsi
ach,eɪˈsiˈeɪtʃ
achaean,əˈtʃiən
achatz,ækəts
ache,eɪk
achebe,ɑˈtʃeɪbi
ached,eɪkt
achee,əˈtʃi
achenbach,ækɪnbɑk
achenbaum,ækənˌbaʊm
achene,əˈkin
achenes,əˈkinz
aches,eɪks
acheson,ætʃəsən
acheson's,ætʃəsənz
achesons,ætʃəsənz
achey,ætʃi
achieva,əˈtʃivə
achievable,əˈtʃivəbəɫ
achieve,əˈtʃiv
achieved,əˈtʃivd
achievement,əˈtʃivmənt
achievements,əˈtʃivmənts
achiever,əˈtʃivɝ
achievers,əˈtʃivɝz
achieves,əˈtʃivz
achieving,əˈtʃivɪŋ
achille,əˈkɪɫi
achilles,əˈkɪɫiz
achilles',əˈkɪɫiz
aching,eɪkɪŋ
achingly,eɪkɪŋɫi
achmed,ɑhmɛd
achoa,əˈtʃoʊə
achoa's,əˈtʃoʊəz
achoo,ˌɑˈtʃu
achor,eɪkɝ
achord,ækɔɹd
achorn,ækɝn
achtenberg,æktɛnbɝɡ
achterberg,æktɝbɝɡ
achy,eɪki
acid,æsəd
acidic,əˈsɪdɪk
acidification,əˌsɪdəfəˈkeɪʃən
acidified,əˈsɪdəˌfaɪd
acidifies,əˈsɪdəˌfaɪz
acidify,əˈsɪdəˌfaɪ
acidity,əˈsɪdəti
acidly,æsədɫi
acidosis,ˌæsəˈdoʊsəs
acids,æsədz
aciduria,ˌæsəˈdʊɹiə
acierno,ɑˈsɪɹnoʊ
ack,æk
acker,ækɝ
acker's,ækɝz
ackerley,ækɝɫi
ackerly,ækɝɫi
ackerman,ækɝmən
ackermann,ækɝmən
ackermanville,ækɝmənvɪɫ
ackerson,ækɝsən
ackert,ækɝt
ackhouse,ækˌhaʊs
ackland,ækɫənd
ackles,ækəɫz
ackley,ækɫi
acklin,ækɫɪn
ackman,ækmən
acknowledge,ækˈnɑɫɪdʒ
acknowledgeable,ækˈnɑɫɪdʒəbəɫ
acknowledged,ækˈnɑɫɪdʒd
acknowledgement,ækˈnɑɫɪdʒmənt
acknowledgements,ækˈnɑɫɪdʒmənts
acknowledges,ækˈnɑɫɪdʒɪz
acknowledging,ækˈnɑɫɪdʒɪŋ
acknowledgment,ækˈnɑɫɪdʒmənt
acknowledgments,ækˈnɑɫɪdʒmənts
ackroyd,æˌkɹɔɪd
ackroyd's,æˌkɹɔɪdz
acm,ˌeɪˌsiˈɛm
acmat,ækmæt
acmat's,ækmæts
acme,ækmi
acme's,ækmiz
acne,ækni
acocella,ɑkoʊˈtʃɛɫə
acoff,ækɔf
acog,əˈkɔɡ
acolyte,ækəˌɫaɪt
acolytes,ækəˌɫaɪts
acord,əˈkɔɹd
acordia,əˈkɔɹdiə
acorn,eɪkɔɹn
acorn's,eɪkɔɹnz
acorns,eɪkɔɹnz
acosta,əˈkɔstə
acott,eɪkɔt
acoustic,əˈkustɪk
acoustical,əˈkustɪkəɫ
acoustically,əˈkustɪkɫi
acoustics,əˈkustɪks
acquaint,əˈkweɪnt
acquaintance,əˈkweɪntəns
acquaintances,əˈkweɪntənsɪz
acquaintanceship,əˈkweɪntənsʃɪp
acquainted,əˈkweɪnɪd
acquainted,əˈkweɪntɪd
acquaviva,ɑkwɑˈvivə
acquiesce,ˌækwiˈɛs
acquiesced,ˌækwiˈɛst
acquiescence,ˌækwiˈɛsəns
acquiescent,ˌækwiˈɛsənt
acquiescing,ˌækwiˈɛsɪŋ
acquire,əˈkwaɪɝ
acquired,əˈkwaɪɝd
acquirer,əˈkwaɪɝɝ
acquirer's,əˈkwaɪɝɝz
acquirers,əˈkwaɪɝɝz
acquires,əˈkwaɪɝz
acquiring,əˈkwaɪɝɪŋ
acquiring,əˈkwaɪɹɪŋ
acquisition,ˌækwəˈzɪʃən
acquisition's,ˌækwəˈzɪʃənz
acquisitions,ˌækwəˈzɪʃənz
acquisitive,əˈkwɪzətɪv
acquit,əˈkwɪt
acquitaine,ækwɪˌteɪn
acquits,əˈkwɪts
acquittal,əˈkwɪtəɫ
acquittals,əˈkwɪtəɫz
acquitted,əˈkwɪtɪd
acquitting,əˈkwɪtɪŋ
acre,eɪkɝ
acreage,eɪkɝɪdʒ
acreage,eɪkɹədʒ
acree,əˈkɹi
acres,eɪkɝz
acrey,ækɹi
acri,ɑkɹi
acrid,ækɹɪd
acrimonious,ˌækɹəˈmoʊniəs
acrimony,ækɹɪˌmoʊni
acro,ækɹoʊ
acrobat,ækɹəˌbæt
acrobatic,ˌækɹəˈbætɪk
acrobatics,ˌækɹəˈbætɪks
acrobats,ækɹəˌbæts
acrolein,ækɹoʊˌɫin
acronym,ækɹənɪm
acronyms,ækɹənɪmz
acropolis,əˈkɹɑpəɫəs
across,əˈkɹɔs
acrylic,əˈkɹɪɫɪk
acrylics,əˈkɹɪɫɪks
act,ækt
act's,ækts
acta,æktɑ
actava,ˌækˈtɑvə
actava's,ˌækˈtɑvəz
actavas,ˌækˈtɑvəz
acted,æktɪd
actel,æktɛɫ
