word1,word2,similarity,dataset
harsh,cruel,0.8307210031347961,SimLex-999
childish,foolish,0.5506792058516196,SimLex-999
scarce,rare,0.9341692789968651,SimLex-999
friendly,generous,0.5924764890282131,SimLex-999
fragile,frigid,0.22466039707419017,SimLex-999
long,narrow,0.34900731452455586,SimLex-999
big,heavy,0.6217345872518285,SimLex-999
rough,frigid,0.23406478578892376,SimLex-999
bizarre,strange,0.9550679205851618,SimLex-999
illegal,immoral,0.4231974921630094,SimLex-999
bad,guilty,0.4148380355276907,SimLex-999
modern,ancient,0.052246603970741906,SimLex-999
new,ancient,0.0,SimLex-999
dull,funny,0.03343782654127482,SimLex-999
happy,young,0.18495297805642633,SimLex-999
easy,big,0.0929989550679206,SimLex-999
great,awful,0.09822361546499477,SimLex-999
tiny,huge,0.038662486938349006,SimLex-999
polite,proper,0.77324973876698,SimLex-999
modest,ashamed,0.2528735632183908,SimLex-999
exotic,rare,0.8171368861024033,SimLex-999
dumb,clever,0.09822361546499477,SimLex-999
delightful,wonderful,0.8798328108672936,SimLex-999
noticeable,obvious,0.8620689655172413,SimLex-999
afraid,anxious,0.5057471264367815,SimLex-999
formal,proper,0.8140020898641587,SimLex-999
dreary,dull,0.8380355276907,SimLex-999
delightful,cheerful,0.6635318704284221,SimLex-999
unhappy,mad,0.5977011494252873,SimLex-999
sad,terrible,0.5402298850574713,SimLex-999
sick,crazy,0.34900731452455586,SimLex-999
violent,angry,0.7053291536050156,SimLex-999
laden,heavy,0.5924764890282131,SimLex-999
dirty,cheap,0.14315569487983282,SimLex-999
elastic,flexible,0.7889237199582027,SimLex-999
hard,dense,0.5924764890282131,SimLex-999
recent,new,0.7126436781609194,SimLex-999
bold,proud,0.39080459770114945,SimLex-999
sly,strange,0.1818181818181818,SimLex-999
strange,sly,0.19226750261233017,SimLex-999
dumb,rare,0.02612330198537095,SimLex-999
sly,tough,0.03657262277951932,SimLex-999
terrific,mad,0.017763845350052248,SimLex-999
modest,flexible,0.07836990595611285,SimLex-999
fresh,wide,0.017763845350052248,SimLex-999
huge,dumb,0.02612330198537095,SimLex-999
large,flexible,0.02612330198537095,SimLex-999
dirty,narrow,0.007314524555903864,SimLex-999
wife,husband,0.21630094043887144,SimLex-999
book,text,0.6394984326018808,SimLex-999
groom,bride,0.3072100313479624,SimLex-999
night,day,0.17241379310344826,SimLex-999
south,north,0.2058516196447231,SimLex-999
plane,airport,0.3573667711598746,SimLex-999
uncle,aunt,0.5506792058516196,SimLex-999
horse,mare,0.8463949843260187,SimLex-999
bottom,top,0.04911180773249739,SimLex-999
friend,buddy,0.8934169278996864,SimLex-999
student,pupil,0.9529780564263322,SimLex-999
world,globe,0.6729362591431556,SimLex-999
leg,arm,0.27690700104493204,SimLex-999
plane,jet,0.8223615464994775,SimLex-999
woman,man,0.3239289446185998,SimLex-999
horse,colt,0.7147335423197492,SimLex-999
actress,actor,0.7199582027168233,SimLex-999
teacher,instructor,0.9425287356321838,SimLex-999
movie,film,0.9028213166144199,SimLex-999
bird,hawk,0.7962382445141064,SimLex-999
word,dictionary,0.3605015673981191,SimLex-999
money,salary,0.7993730407523509,SimLex-999
dog,cat,0.1588296760710554,SimLex-999
area,region,0.9655172413793103,SimLex-999
navy,army,0.6478578892371994,SimLex-999
book,literature,0.7628004179728317,SimLex-999
clothes,closet,0.3176593521421108,SimLex-999
sunset,sunrise,0.23406478578892376,SimLex-999
child,adult,0.28735632183908044,SimLex-999
cow,cattle,0.9707419017763844,SimLex-999
book,story,0.5642633228840125,SimLex-999
winter,summer,0.22466039707419017,SimLex-999
taxi,cab,0.9373040752351095,SimLex-999
tree,maple,0.5538140020898641,SimLex-999
bed,bedroom,0.33124346917450365,SimLex-999
roof,ceiling,0.7680250783699059,SimLex-999
disease,infection,0.7230929989550678,SimLex-999
arm,shoulder,0.4827586206896551,SimLex-999
sheep,lamb,0.8557993730407523,SimLex-999
lady,gentleman,0.3333333333333333,SimLex-999
boat,anchor,0.21107628004179727,SimLex-999
priest,monk,0.6321839080459769,SimLex-999
toe,finger,0.4649947753396029,SimLex-999
river,stream,0.7387669801462904,SimLex-999
anger,fury,0.8881922675026123,SimLex-999
date,calendar,0.4378265412748171,SimLex-999
sea,ocean,0.8401253918495296,SimLex-999
second,minute,0.45872518286311387,SimLex-999
hand,thumb,0.38140020898641586,SimLex-999
wood,log,0.7387669801462904,SimLex-999
mud,dirt,0.7408568443051201,SimLex-999
hallway,corridor,0.9456635318704283,SimLex-999
way,manner,0.7722048066875652,SimLex-999
mouse,cat,0.0929989550679206,SimLex-999
cop,sheriff,0.9216300940438871,SimLex-999
death,burial,0.49111807732497387,SimLex-999
music,melody,0.7053291536050156,SimLex-999
beer,alcohol,0.7596656217345872,SimLex-999
mouth,lip,0.7178683385579936,SimLex-999
storm,hurricane,0.6426332288401253,SimLex-999
tax,income,0.22466039707419017,SimLex-999
flower,violet,0.702194357366771,SimLex-999
paper,cardboard,0.5381400208986415,SimLex-999
floor,ceiling,0.1567398119122257,SimLex-999
beach,seashore,0.8463949843260187,SimLex-999
rod,curtain,0.29258098223615464,SimLex-999
hound,fox,0.22466039707419017,SimLex-999
street,alley,0.54858934169279,SimLex-999
boat,deck,0.4231974921630094,SimLex-999
car,horn,0.2445141065830721,SimLex-999
friend,guest,0.42006269592476486,SimLex-999
employer,employee,0.3573667711598746,SimLex-999
hand,wrist,0.39080459770114945,SimLex-999
ball,cannon,0.24555903866248696,SimLex-999
alcohol,brandy,0.7053291536050156,SimLex-999
victory,triumph,0.9143155694879832,SimLex-999
telephone,booth,0.3552769070010449,SimLex-999
door,doorway,0.5402298850574713,SimLex-999
motel,inn,0.8296760710553813,SimLex-999
clothes,cloth,0.547544409613375,SimLex-999
steak,meat,0.7565308254963427,SimLex-999
nail,thumb,0.3469174503657262,SimLex-999
band,orchestra,0.715778474399164,SimLex-999
book,bible,0.49843260188087773,SimLex-999
business,industry,0.7095088819226749,SimLex-999
winter,season,0.6311389759665621,SimLex-999
decade,century,0.3396029258098223,SimLex-999
alcohol,gin,0.8798328108672936,SimLex-999
hat,coat,0.25496342737722044,SimLex-999
window,door,0.3239289446185998,SimLex-999
arm,wrist,0.34900731452455586,SimLex-999
house,apartment,0.5820271682340646,SimLex-999
glass,crystal,0.6311389759665621,SimLex-999
wine,brandy,0.5141065830721002,SimLex-999
creator,maker,0.9811912225705327,SimLex-999
dinner,breakfast,0.3239289446185998,SimLex-999
arm,muscle,0.36468129571577845,SimLex-999
bubble,suds,0.8714733542319748,SimLex-999
bread,flour,0.3239289446185998,SimLex-999
death,tragedy,0.5820271682340646,SimLex-999
absence,presence,0.017763845350052248,SimLex-999
gun,cannon,0.5694879832810866,SimLex-999
grass,blade,0.4535005224660397,SimLex-999
ball,basket,0.15047021943573666,SimLex-999
hose,garden,0.15047021943573666,SimLex-999
boy,kid,0.7596656217345872,SimLex-999
church,choir,0.28422152560083597,SimLex-999
clothes,drawer,0.2915360501567398,SimLex-999
tower,bell,0.17450365726227793,SimLex-999
father,parent,0.7147335423197492,SimLex-999
school,grade,0.4378265412748171,SimLex-999
parent,adult,0.5370950888192266,SimLex-999
bar,jail,0.17450365726227793,SimLex-999
car,highway,0.33124346917450365,SimLex-999
dictionary,definition,0.6290491118077324,SimLex-999
door,cellar,0.1818181818181818,SimLex-999
army,legion,0.5977011494252873,SimLex-999
metal,aluminum,0.7335423197492162,SimLex-999
chair,bench,0.6729362591431556,SimLex-999
cloud,fog,0.6029258098223614,SimLex-999
boy,son,0.6812957157784744,SimLex-999
water,ice,0.6520376175548588,SimLex-999
bed,blanket,0.2915360501567398,SimLex-999
attorney,lawyer,0.9529780564263322,SimLex-999
area,zone,0.8463949843260187,SimLex-999
business,company,0.9184952978056425,SimLex-999
clothes,fabric,0.5893416927899686,SimLex-999
sweater,jacket,0.7230929989550678,SimLex-999
money,capital,0.6729362591431556,SimLex-999
hand,foot,0.4117032392894462,SimLex-999
alcohol,cocktail,0.6792058516196446,SimLex-999
yard,inch,0.37095088819226746,SimLex-999
molecule,atom,0.6499477533960292,SimLex-999
lens,camera,0.4231974921630094,SimLex-999
meal,dinner,0.7230929989550678,SimLex-999
eye,tear,0.3469174503657262,SimLex-999
god,devil,0.16405433646812956,SimLex-999
loop,belt,0.2998955067920585,SimLex-999
rat,mouse,0.7889237199582027,SimLex-999
motor,engine,0.8798328108672936,SimLex-999
car,cab,0.7513061650992684,SimLex-999
cat,lion,0.6812957157784744,SimLex-999
size,magnitude,0.6374085684430512,SimLex-999
reality,fantasy,0.08359456635318704,SimLex-999
door,gate,0.5245559038662486,SimLex-999
cat,pet,0.5977011494252873,SimLex-999
tin,aluminum,0.6468129571577846,SimLex-999
bone,jaw,0.4117032392894462,SimLex-999
cereal,wheat,0.367816091954023,SimLex-999
house,key,0.17450365726227793,SimLex-999
blood,flesh,0.4231974921630094,SimLex-999
door,corridor,0.3657262277951933,SimLex-999
god,spirit,0.7387669801462904,SimLex-999
capability,competence,0.7722048066875652,SimLex-999
abundance,plenty,0.9132706374085684,SimLex-999
sofa,chair,0.6729362591431556,SimLex-999
wall,brick,0.4649947753396029,SimLex-999
horn,drum,0.2560083594566353,SimLex-999
organ,liver,0.6185997910135841,SimLex-999
strength,might,0.7147335423197492,SimLex-999
phrase,word,0.54858934169279,SimLex-999
band,parade,0.3855799373040752,SimLex-999
stomach,waist,0.5924764890282131,SimLex-999
cloud,storm,0.561128526645768,SimLex-999
joy,pride,0.49843260188087773,SimLex-999
noise,rattle,0.6206896551724137,SimLex-999
rain,mist,0.5997910135841169,SimLex-999
beer,beverage,0.5423197492163009,SimLex-999
man,uncle,0.3855799373040752,SimLex-999
apple,juice,0.27690700104493204,SimLex-999
intelligence,logic,0.6551724137931033,SimLex-999
communication,language,0.7565308254963427,SimLex-999
mink,fur,0.689655172413793,SimLex-999
mob,crowd,0.7962382445141064,SimLex-999
shore,coast,0.8986415882967607,SimLex-999
wire,cord,0.7722048066875652,SimLex-999
bird,turkey,0.6635318704284221,SimLex-999
bed,crib,0.7387669801462904,SimLex-999
competence,ability,0.7596656217345872,SimLex-999
cloud,haze,0.7408568443051201,SimLex-999
supper,meal,0.7628004179728317,SimLex-999
bar,cage,0.26854754440961337,SimLex-999
water,salt,0.11180773249738768,SimLex-999
sense,intuition,0.7784743991640543,SimLex-999
situation,condition,0.6635318704284221,SimLex-999
crime,theft,0.7628004179728317,SimLex-999
style,fashion,0.8641588296760709,SimLex-999
boundary,border,0.9247648902821316,SimLex-999
arm,body,0.3991640543364681,SimLex-999
boat,car,0.22361546499477533,SimLex-999
sandwich,lunch,0.6342737722048066,SimLex-999
bride,princess,0.26854754440961337,SimLex-999
heroine,hero,0.8934169278996864,SimLex-999
car,gauge,0.09404388714733541,SimLex-999
insect,bee,0.6102403343782654,SimLex-999
crib,cradle,0.8693834900731452,SimLex-999
animal,person,0.2946708463949843,SimLex-999
marijuana,herb,0.6551724137931033,SimLex-999
bed,hospital,0.07210031347962383,SimLex-999
cheek,tongue,0.44827586206896547,SimLex-999
disc,computer,0.3103448275862069,SimLex-999
curve,angle,0.3239289446185998,SimLex-999
grass,moss,0.49843260188087773,SimLex-999
school,law,0.09404388714733541,SimLex-999
foot,head,0.21630094043887144,SimLex-999
mother,guardian,0.6551724137931033,SimLex-999
orthodontist,dentist,0.8401253918495296,SimLex-999
alcohol,whiskey,0.7356321839080459,SimLex-999
mouth,tooth,0.6342737722048066,SimLex-999
breakfast,bacon,0.43260188087774293,SimLex-999
bathroom,bedroom,0.33124346917450365,SimLex-999
plate,bowl,0.522466039707419,SimLex-999
meat,bacon,0.5820271682340646,SimLex-999
air,helium,0.3552769070010449,SimLex-999
worker,employer,0.5370950888192266,SimLex-999
body,chest,0.44096133751306166,SimLex-999
son,father,0.3751306165099268,SimLex-999
heart,surgery,0.08881922675026124,SimLex-999
woman,secretary,0.18286311389759666,SimLex-999
man,father,0.48066875653082547,SimLex-999
beach,island,0.561128526645768,SimLex-999
story,topic,0.49843260188087773,SimLex-999
game,fun,0.3333333333333333,SimLex-999
weekend,week,0.3939393939393939,SimLex-999
couple,pair,0.8463949843260187,SimLex-999
woman,wife,0.573667711598746,SimLex-999
sheep,cattle,0.4743991640543364,SimLex-999
purse,bag,0.8463949843260187,SimLex-999
ceiling,cathedral,0.2288401253918495,SimLex-999
bean,coffee,0.5141065830721002,SimLex-999
wood,paper,0.27690700104493204,SimLex-999
top,side,0.17450365726227793,SimLex-999
crime,fraud,0.5663531870428422,SimLex-999
pain,harm,0.5381400208986415,SimLex-999
lover,companion,0.5997910135841169,SimLex-999
evening,dusk,0.7889237199582027,SimLex-999
father,daughter,0.2497387669801463,SimLex-999
wine,liquor,0.7962382445141064,SimLex-999
cow,goat,0.2821316614420063,SimLex-999
belief,opinion,0.780564263322884,SimLex-999
reality,illusion,0.12434691745036572,SimLex-999
pact,agreement,0.9184952978056425,SimLex-999
wealth,poverty,0.10867293625914315,SimLex-999
accident,emergency,0.49111807732497387,SimLex-999
battle,conquest,0.7304075235109717,SimLex-999
friend,teacher,0.2497387669801463,SimLex-999
illness,infection,0.6969696969696969,SimLex-999
game,trick,0.21839080459770113,SimLex-999
brother,son,0.3396029258098223,SimLex-999
aunt,nephew,0.2998955067920585,SimLex-999
worker,mechanic,0.49007314524555906,SimLex-999
doctor,orthodontist,0.5590386624869382,SimLex-999
oak,maple,0.606060606060606,SimLex-999
bee,queen,0.3176593521421108,SimLex-999
car,bicycle,0.3385579937304075,SimLex-999
goal,quest,0.5851619644723092,SimLex-999
august,month,0.5538140020898641,SimLex-999
army,squad,0.5067920585161964,SimLex-999
cloud,weather,0.4848484848484848,SimLex-999
physician,doctor,0.9038662486938349,SimLex-999
canyon,valley,0.6812957157784744,SimLex-999
river,valley,0.15047021943573666,SimLex-999
sun,sky,0.21316614420062696,SimLex-999
target,arrow,0.31556948798328105,SimLex-999
chocolate,pie,0.21316614420062696,SimLex-999
circumstance,situation,0.7962382445141064,SimLex-999
opinion,choice,0.5433646812957157,SimLex-999
rhythm,melody,0.6154649947753396,SimLex-999
gut,nerve,0.49111807732497387,SimLex-999
day,dawn,0.547544409613375,SimLex-999
cattle,beef,0.7105538140020898,SimLex-999
doctor,professor,0.46185997910135845,SimLex-999
arm,vein,0.3573667711598746,SimLex-999
room,bath,0.3239289446185998,SimLex-999
corporation,business,0.9184952978056425,SimLex-999
fun,football,0.1818181818181818,SimLex-999
hill,cliff,0.4231974921630094,SimLex-999
bone,ankle,0.3751306165099268,SimLex-999
apple,candy,0.19331243469174503,SimLex-999
helper,maid,0.5590386624869382,SimLex-999
leader,manager,0.7356321839080459,SimLex-999
lemon,tea,0.14315569487983282,SimLex-999
bee,ant,0.26645768025078365,SimLex-999
basketball,baseball,0.49007314524555906,SimLex-999
rice,bean,0.2601880877742947,SimLex-999
bed,furniture,0.6112852664576802,SimLex-999
emotion,passion,0.7826541274817136,SimLex-999
anarchy,chaos,0.8045977011494252,SimLex-999
crime,violation,0.7199582027168233,SimLex-999
machine,engine,0.5590386624869382,SimLex-999
beach,sea,0.4649947753396029,SimLex-999
alley,bowl,0.13584117032392895,SimLex-999
jar,bottle,0.7941483803552768,SimLex-999
strength,capability,0.5276907001044931,SimLex-999
seed,mustard,0.3396029258098223,SimLex-999
guitar,drum,0.37095088819226746,SimLex-999
opinion,idea,0.5715778474399164,SimLex-999
north,west,0.3552769070010449,SimLex-999
diet,salad,0.28735632183908044,SimLex-999
mother,wife,0.2915360501567398,SimLex-999
dad,mother,0.3469174503657262,SimLex-999
captain,sailor,0.49843260188087773,SimLex-999
meter,yard,0.561128526645768,SimLex-999
beer,champagne,0.44096133751306166,SimLex-999
motor,boat,0.2445141065830721,SimLex-999
card,bridge,0.1818181818181818,SimLex-999
science,psychology,0.49007314524555906,SimLex-999
sinner,saint,0.14315569487983282,SimLex-999
destruction,construction,0.07836990595611285,SimLex-999
crowd,bunch,0.7513061650992684,SimLex-999
beach,reef,0.36990595611285265,SimLex-999
man,child,0.4075235109717868,SimLex-999
bread,cheese,0.17972831765935213,SimLex-999
champion,winner,0.8881922675026123,SimLex-999
celebration,ceremony,0.7826541274817136,SimLex-999
menu,order,0.3542319749216301,SimLex-999
king,princess,0.3176593521421108,SimLex-999
wealth,prestige,0.6102403343782654,SimLex-999
endurance,strength,0.6635318704284221,SimLex-999
danger,threat,0.8934169278996864,SimLex-999
god,priest,0.4461859979101358,SimLex-999
men,fraternity,0.303030303030303,SimLex-999
buddy,companion,0.8798328108672936,SimLex-999
teacher,helper,0.4231974921630094,SimLex-999
body,stomach,0.38662486938349006,SimLex-999
tongue,throat,0.2998955067920585,SimLex-999
house,carpet,0.12016718913270635,SimLex-999
intelligence,skill,0.5350052246603969,SimLex-999
journey,conquest,0.4691745036572622,SimLex-999
god,prey,0.10449320794148381,SimLex-999
brother,soul,0.07732497387669801,SimLex-999
adversary,opponent,0.9216300940438871,SimLex-999
death,catastrophe,0.4075235109717868,SimLex-999
monster,demon,0.702194357366771,SimLex-999
day,morning,0.4848484848484848,SimLex-999
man,victor,0.17450365726227793,SimLex-999
friend,guy,0.38140020898641586,SimLex-999
song,story,0.39080459770114945,SimLex-999
ray,sunshine,0.689655172413793,SimLex-999
guy,stud,0.5851619644723092,SimLex-999
chicken,rice,0.12539184952978055,SimLex-999
box,elevator,0.11389759665621735,SimLex-999
butter,potato,0.10344827586206895,SimLex-999
apartment,furniture,0.10971786833855798,SimLex-999
lake,swamp,0.49007314524555906,SimLex-999
salad,vinegar,0.09404388714733541,SimLex-999
flower,bulb,0.4440961337513062,SimLex-999
cloud,mist,0.6729362591431556,SimLex-999
driver,pilot,0.6321839080459769,SimLex-999
sugar,honey,0.5120167189132705,SimLex-999
body,shoulder,0.27690700104493204,SimLex-999
idea,image,0.3469174503657262,SimLex-999
father,brother,0.4148380355276907,SimLex-999
moon,planet,0.5893416927899686,SimLex-999
ball,costume,0.21839080459770113,SimLex-999
rail,fence,0.5214211076280041,SimLex-999
room,bed,0.22152560083594566,SimLex-999
flower,bush,0.42006269592476486,SimLex-999
bone,knee,0.4117032392894462,SimLex-999
arm,knee,0.26332288401253917,SimLex-999
bottom,side,0.2507836990595611,SimLex-999
vessel,vein,0.5141065830721002,SimLex-999
cat,rabbit,0.22361546499477533,SimLex-999
meat,sandwich,0.22152560083594566,SimLex-999
belief,concept,0.5067920585161964,SimLex-999
intelligence,insight,0.5924764890282131,SimLex-999
attention,interest,0.7304075235109717,SimLex-999
attitude,confidence,0.4305120167189132,SimLex-999
right,justice,0.7126436781609194,SimLex-999
argument,agreement,0.12748171368861022,SimLex-999
depth,magnitude,0.6154649947753396,SimLex-999
medium,news,0.3573667711598746,SimLex-999
winner,candidate,0.26645768025078365,SimLex-999
birthday,date,0.5067920585161964,SimLex-999
fee,payment,0.7230929989550678,SimLex-999
bible,hymn,0.5141065830721002,SimLex-999
exit,doorway,0.5506792058516196,SimLex-999
man,sentry,0.31556948798328105,SimLex-999
aisle,hall,0.6394984326018808,SimLex-999
whiskey,gin,0.6321839080459769,SimLex-999
blood,marrow,0.33124346917450365,SimLex-999
oil,mink,0.10449320794148381,SimLex-999
floor,deck,0.5559038662486937,SimLex-999
roof,floor,0.2497387669801463,SimLex-999
door,floor,0.15047021943573666,SimLex-999
shoulder,head,0.3333333333333333,SimLex-999
wagon,carriage,0.780564263322884,SimLex-999
car,carriage,0.5120167189132705,SimLex-999
elbow,ankle,0.303030303030303,SimLex-999
wealth,fame,0.39602925809822354,SimLex-999
sorrow,shame,0.4743991640543364,SimLex-999
administration,management,0.7335423197492162,SimLex-999
communication,conversation,0.8140020898641587,SimLex-999
pollution,atmosphere,0.42006269592476486,SimLex-999
anatomy,biology,0.5329153605015673,SimLex-999
college,profession,0.3019853709508882,SimLex-999
book,topic,0.19226750261233017,SimLex-999
formula,equation,0.8066875653082549,SimLex-999
book,information,0.49843260188087773,SimLex-999
boy,partner,0.17450365726227793,SimLex-999
sky,universe,0.4649947753396029,SimLex-999
population,people,0.7784743991640543,SimLex-999
college,class,0.4075235109717868,SimLex-999
chief,mayor,0.4827586206896551,SimLex-999
rabbi,minister,0.7722048066875652,SimLex-999
meter,inch,0.5067920585161964,SimLex-999
polyester,cotton,0.5642633228840125,SimLex-999
lawyer,banker,0.17241379310344826,SimLex-999
violin,instrument,0.6635318704284221,SimLex-999
camp,cabin,0.4148380355276907,SimLex-999
pot,appliance,0.2403343782654127,SimLex-999
linen,fabric,0.7565308254963427,SimLex-999
whiskey,champagne,0.5329153605015673,SimLex-999
girl,child,0.5381400208986415,SimLex-999
cottage,cabin,0.7826541274817136,SimLex-999
bird,hen,0.7105538140020898,SimLex-999
racket,noise,0.8223615464994775,SimLex-999
sunset,evening,0.6008359456635318,SimLex-999
drizzle,rain,0.9341692789968651,SimLex-999
adult,baby,0.2079414838035528,SimLex-999
charcoal,coal,0.77324973876698,SimLex-999
body,spine,0.4754440961337513,SimLex-999
head,nail,0.23406478578892376,SimLex-999
log,timber,0.8171368861024033,SimLex-999
spoon,cup,0.187042842215256,SimLex-999
body,nerve,0.303030303030303,SimLex-999
man,husband,0.5318704284221525,SimLex-999
bone,neck,0.2403343782654127,SimLex-999
frustration,anger,0.6551724137931033,SimLex-999
river,sea,0.573667711598746,SimLex-999
task,job,0.9028213166144199,SimLex-999
club,society,0.522466039707419,SimLex-999
reflection,image,0.7356321839080459,SimLex-999
prince,king,0.5945663531870428,SimLex-999
snow,weather,0.54858934169279,SimLex-999
people,party,0.2058516196447231,SimLex-999
boy,brother,0.6729362591431556,SimLex-999
root,grass,0.3469174503657262,SimLex-999
brow,eye,0.3751306165099268,SimLex-999
money,pearl,0.19540229885057472,SimLex-999
money,diamond,0.3333333333333333,SimLex-999
vehicle,bus,0.6520376175548588,SimLex-999
cab,bus,0.561128526645768,SimLex-999
house,barn,0.4284221525600836,SimLex-999
finger,palm,0.3239289446185998,SimLex-999
car,bridge,0.07523510971786833,SimLex-999
effort,difficulty,0.44096133751306166,SimLex-999
fact,insight,0.4743991640543364,SimLex-999
job,management,0.39080459770114945,SimLex-999
cancer,sickness,0.8045977011494252,SimLex-999
word,newspaper,0.23406478578892376,SimLex-999
composer,writer,0.6635318704284221,SimLex-999
actor,singer,0.44827586206896547,SimLex-999
shelter,hut,0.6520376175548588,SimLex-999
bathroom,kitchen,0.2998955067920585,SimLex-999
cabin,hut,0.658307210031348,SimLex-999
door,kitchen,0.15047021943573666,SimLex-999
value,belief,0.7147335423197492,SimLex-999
wisdom,intelligence,0.7565308254963427,SimLex-999
ignorance,intelligence,0.13270637408568442,SimLex-999
happiness,luck,0.22466039707419017,SimLex-999
idea,scheme,0.6812957157784744,SimLex-999
mood,emotion,0.8244514106583071,SimLex-999
happiness,peace,0.606060606060606,SimLex-999
despair,misery,0.7304075235109717,SimLex-999
logic,arithmetic,0.39080459770114945,SimLex-999
denial,confession,0.08359456635318704,SimLex-999
argument,criticism,0.5067920585161964,SimLex-999
aggression,hostility,0.8620689655172413,SimLex-999
hysteria,confusion,0.6374085684430512,SimLex-999
chemistry,theory,0.3072100313479624,SimLex-999
trial,verdict,0.3239289446185998,SimLex-999
comfort,safety,0.5820271682340646,SimLex-999
confidence,self,0.3019853709508882,SimLex-999
vision,perception,0.6948798328108672,SimLex-999
era,decade,0.5402298850574713,SimLex-999
biography,fiction,0.12016718913270635,SimLex-999
discussion,argument,0.54858934169279,SimLex-999
code,symbol,0.606060606060606,SimLex-999
danger,disease,0.2894461859979101,SimLex-999
accident,catastrophe,0.5924764890282131,SimLex-999
journey,trip,0.9038662486938349,SimLex-999
activity,movement,0.7230929989550678,SimLex-999
gossip,news,0.5214211076280041,SimLex-999
father,god,0.34900731452455586,SimLex-999
action,course,0.5454545454545454,SimLex-999
fever,illness,0.7753396029258097,SimLex-999
aviation,flight,0.8307210031347961,SimLex-999
game,action,0.4827586206896551,SimLex-999
molecule,air,0.2946708463949843,SimLex-999
home,state,0.24555903866248696,SimLex-999
word,literature,0.4743991640543364,SimLex-999
adult,guardian,0.6969696969696969,SimLex-999
newspaper,information,0.5663531870428422,SimLex-999
communication,television,0.561128526645768,SimLex-999
cousin,uncle,0.45977011494252873,SimLex-999
author,reader,0.14315569487983282,SimLex-999
guy,partner,0.34900731452455586,SimLex-999
area,corner,0.19226750261233017,SimLex-999
ballad,song,0.7628004179728317,SimLex-999
wall,decoration,0.2497387669801463,SimLex-999
word,page,0.28108672936259144,SimLex-999
nurse,scientist,0.19331243469174503,SimLex-999
politician,president,0.7471264367816091,SimLex-999
president,mayor,0.5694879832810866,SimLex-999
book,essay,0.4691745036572622,SimLex-999
man,warrior,0.4691745036572622,SimLex-999
article,journal,0.6217345872518285,SimLex-999
breakfast,supper,0.43573667711598746,SimLex-999
crowd,parade,0.38662486938349006,SimLex-999
aisle,hallway,0.6812957157784744,SimLex-999
teacher,rabbi,0.43260188087774293,SimLex-999
