aah	ɑ
abdication	ˌæb.dɪ.ˈkeɪ.ʃən
abdomen	ˈæb.də.mən
abdomen	æb.ˈdoʊ.ən
abdominal	æb.ˈdɒ.mənl
abduce	æb.ˈdus
abduce	æb.ˈdyus
abducens	æb.ˈdu.sɛnz
abducens	æb.ˈdu.sənz
abducens	æb.ˈdyu.sɛnz
abducent	æb.ˈdu.sənt
abducent	æb.ˈdyu.sənt
abductee	æb.dʌk.ˈti
abductee	ˌæb.dʌk.ˈti
abduct	æb.ˈdʌkt
abduction	æb.ˈdʌk.ʃən
abductor	æb.ˈdʌk.təɹ
abeam	ə.ˈbim
abecedarian	ˌeɪ.bi.si.ˈdɛə.ɹi.ən
abed	ə.ˈbɛd
abegging	ə.ˈbɛ.gɪŋ
Abe	eɪb
abele	ə.ˈbil
abele	ˈeɪ.bəl
Abel	ˈeɪ.bəl
Abel	ˈɑ.bəl
abelia	ə.ˈbi.li.ə
abelia	ə.ˈbi.lyə
Abelian	ə.ˈbi.li.ən
Abelian	ə.ˈbi.lyən
abelmosk	ˈeɪ.bəl.ˌmɒsk
Abercrombie	ˈæ.bəɹ.ˌkɹɒm.bi
Abercrombie	ˈæ.bəɹ.ˌkɹʌm.bi
Aberdeen	ˌæ.bəɹ.ˈdin
Aberdeen	ˈæ.bəɹ.ˌdin
Abernathy	ˈæ.bəɹ.ˌnæ.θi
aberrant	ə.ˈbɛ.ɹənt
aberrant	ˈæ.bə.ɹənt
aberration	ˌæ.bə.ˈɹeɪ.ʃən
abet	ə.ˈbɛt
abettor	ə.ˈbɛ.təɹ
abeyance	ə.ˈbeɪ.əns
abeyant	ə.ˈbeɪ.ənt
abfarad	æb.ˈfæ.ɹæd
abfarad	æb.ˈfæ.ɹəd
abhenry	æb.ˈhɛn.ɹi
abhor	æb.ˈhɔɹ
abhorrence	æb.ˈhɔ.ɹəns
abhorrence	æb.ˈhɒ.ɹəns
abhorrent	æb.ˈhɔ.ɹənt
abhorrent	æb.ˈhɒ.ɹənt
Ab	ɑb
Ab	ɑv
abidance	ə.ˈbaɪdns
abide	ə.ˈbaɪd
abiding	ə.ˈbaɪ.dɪŋ
abigail	ˈæ.bɪ.ˌgeɪl
Abigail	ˈæ.bɪ.ˌgeɪl
Abilene	ˈæ.bə.ˌlin
ability	ə.ˈbɪ.lɪ.ti
abiogenesis	ˌeɪ.baɪ.oʊ.ˈdʒɛ.nə.sɪs
abiogenesis	ˌæ.bi.oʊ.ˈdʒɛ.nə.sɪs
abiogenic	ˌeɪ.baɪ.oʊ.ˈdʒɛ.nɪk
abiogenic	ˌæ.bi.oʊ.ˈdʒɛ.nɪk
abiological	ˌeɪ.baɪ.ə.ˈlɒd.ʒɪ.kəl
abiosis	ˌeɪ.baɪ.ˈoʊ.sɪs
abiosis	ˌæ.bi.ɪ.ˈoʊ.sɪs
abiotic	ˌeɪ.baɪ.ˈɒ.tɪk
abiotic	ˌæ.bi.ɪ.ˈɒ.tɪk
abject	ˈæbd.ʒɛkt
abject	æb.ˈdʒɛkt
abjection	æb.ˈdʒɛk.ʃən
abjuration	ˌæbd.ʒə.ˈɹeɪ.ʃən
abjure	æb.ˈdʒʊ.əɹ
abjure	æb.ˈdʒɜɹ
ablate	æ.ˈbleɪt
ablation	æ.ˈbleɪ.ʃən
ablative	ˈæ.blə.tɪv
ablative	æ.ˈbleɪ.tɪv
ablator	æ.ˈbleɪ.təɹ
ablaut	ˈɑ.blaʊt
ablaut	ˈæ.blaʊt
ablaut	ˈɑ.plaʊt
ablaze	ə.ˈbleɪz
able	ˈeɪ.bəl
ableism	ˈeɪ.bə.ˌlɪ.zəm
abloom	ə.ˈblum
abluent	ˈæ.blu.ənt
ablush	ə.ˈblʌʃ
abluted	ə.ˈblu.tɪd
ablution	ə.ˈblu.ʃən
ably	ˈeɪ.bli
abmho	ˈæb.moʊ
abnegate	ˈæb.nɪ.ˌgeɪt
abnegation	ˌæb.nɪ.ˈgeɪ.ʃən
Abner	ˈæb.nəɹ
abnormal	æb.ˈnɔɹ.məl
abnormality	ˌæb.nɔɹ.ˈmæ.lɪ.ti
abnormity	æb.ˈnɔɹ.mɪ.ti
aboard	ə.ˈbɔɹd
aboard	ə.ˈboʊɹd
abode	ə.ˈboʊd
abohm	æb.ˈoʊm
abohm	ˈæb.ˌoʊm
abo	ˈæ.boʊ
aboil	ə.ˈbɔɪl
abolish	ə.ˈbɒ.lɪʃ
abolition	ˌæ.bə.ˈlɪ.ʃən
abolitionism	ˌæ.bə.ˈlɪ.ʃə.ˌnɪ.zəm
abolitionist	ˌæ.bə.ˈlɪ.ʃə.nɪst
abolla	ə.ˈbɒ.lə
abomasum	ˌæ.bə.ˈmeɪ.səm
abomasus	ˌæ.bə.ˈmeɪ.səs
abominable	ə.ˈbɒ.mə.nə.bəl
abominate	ə.ˈbɒ.mə.ˌneɪt
abomination	ə.ˌbɒ.mə.ˈneɪ.ʃən
aboon	ə.ˈbun
aboral	æb.ˈɔ.ɹəl
aboral	æb.ˈoʊ.ɹəl
aboriginal	ˌæ.bə.ˈɹɪd.ʒənl
aborigine	ˌæ.bə.ˈɹɪd.ʒə.ni
aborning	ə.ˈbɔɹ.nɪŋ
abort	ə.ˈbɔɹt
abortifacient	ə.ˌbɔɹ.tə.ˈfeɪ.ʃənt
abortion	ə.ˈbɔɹ.ʃən
abortionist	ə.ˈbɔɹ.ʃə.nɪst
abortive	ə.ˈbɔɹ.tɪv
abortus	ə.ˈbɔɹ.təs
abought	ə.ˈbɔt
aboulia	ə.ˈbu.li.ə
abound	ə.ˈbaʊnd
about	ə.ˈbaʊt
aboveboard	ə.ˈbʌv.ˌbɔɹd
aboveboard	ə.ˈbʌv.ˌboʊɹd
aboveground	ə.ˈbʌv.ˌgɹaʊnd
above	ə.ˈbʌv
abracadabra	ˌæ.bɹə.kə.ˈdæ.bɹə
abradant	ə.ˈbɹeɪdnt
abrade	ə.ˈbɹeɪd
Abraham	ˈeɪ.bɹə.ˌhæm
Abraham	ˈeɪ.bɹə.ˌhəm
abrasion	ə.ˈbɹeɪ.ʒən
abrasive	ə.ˈbɹeɪ.sɪv
abrasive	ə.ˈbɹeɪ.zɪv
abreact	ˌæ.bɹi.ˈækt
abreaction	ˌæ.bɹi.ˈæk.ʃən
abreast	ə.ˈbɹɛst
abridge	ə.ˈbɹɪdʒ
abridgment	ə.ˈbɹɪdʒ.mənt
abri	ə.ˈbɹi
abri	a.ˈbɹi
abroach	ə.ˈbɹoʊtʃ
abroad	ə.ˈbɹɔd
abrogate	ˈæ.bɹə.ˌgeɪt
abrogation	ˌæ.bɹə.ˈgeɪ.ʃən
abrupt	ə.ˈbɹʌpt
abruption	ə.ˈbɹʌp.ʃən
abscess	ˈæb.sɛs
abscise	æb.ˈsaɪz
abscissa	æb.ˈsɪ.sə
abscission	æb.ˈsɪ.ʒən
abscission	æb.ˈsɪ.ʃən
abscond	æb.ˈskɒnd
abseil	ˈɑp.zaɪl
abseil	ˈæb.seɪl
absence	ˈæb.səns
absentee	ˌæb.sən.ˈti
absenteeism	ˌæb.sən.ˈti.ɪ.zəm
absent	ˈæb.sənt
absent	æb.ˈsɛnt
absently	ˈæb.sənt.li
absent-minded	ˈæb.sənt.ˈmaɪn.dɪd
abs	æbz
absinthe	ˈæb.sɪnθ
absolute	ˈæb.sə.ˌlut
absolute	ˌæb.sə.ˈlut
absolutely	ˌæb.sə.ˈlut.li
absolutely	ˈæb.sə.ˌlut.li
absolution	ˌæb.sə.ˈlu.ʃən
absolutism	ˈæb.sə.lu.ˌtɪ.zəm
absolutive	ˌæb.sə.ˈlu.tɪv
absolutize	ˈæb.sə.lu.ˌtaɪz
absolve	æb.ˈzɒlv
absolve	æb.ˈsɒlv
absonant	ˈæb.sə.nənt
absorbance	æb.ˈsɔɹ.bəns
absorbance	æb.ˈzɔɹ.bəns
absorbed	æb.ˈsɔɹbd
absorbed	æb.ˈzɔɹbd
absorbent	æb.ˈsɔɹ.bənt
absorbent	æb.ˈzɔɹ.bənt
absorber	æb.ˈsɔɹ.bəɹ
absorber	æb.ˈzɔɹ.bəɹ
absorb	æb.ˈsɔɹb
absorb	æb.ˈzɔɹb
absorbing	æb.ˈsɔɹ.bɪŋ
absorbing	æb.ˈzɔɹ.bɪŋ
absorptance	æb.ˈsɔɹp.təns
absorptance	æb.ˈzɔɹp.təns
absorption	æb.ˈsɔɹp.ʃən
absorption	æb.ˈzɔɹp.ʃən
absorptive	æb.ˈsɔɹp.tɪv
absorptive	æb.ˈzɔɹp.tɪv
absorptivity	ˈæb.sɔɹp.ˈtɪ.vɪ.ti
absorptivity	ˈæb.zɔɹp.ˈtɪ.vɪ.ti
abstainer	æb.ˈsteɪ.nəɹ
abstain	æb.ˈsteɪn
abstemious	æb.ˈsti.mi.əs
abstention	æb.ˈstɛn.ʃən
abstinence	ˈæb.stə.nəns
abstracted	æb.ˈstɹæk.tɪd
abstract	æb.ˈstɹækt
abstract	ˈæb.stɹækt
abstraction	æb.ˈstɹæk.ʃən
abstractionism	æb.ˈstɹæk.ʃə.ˌnɪ.zəm
abstractionist	æb.ˈstɹæk.ʃə.nɪst
abstractive	æb.ˈstɹæk.tɪv
abstrict	æb.ˈstɹɪkt
abstruse	æb.ˈstɹus
abstrusity	æb.ˈstɹu.sɪ.ti
absurd	æb.ˈsɜɹd
absurd	æb.ˈzɜɹd
absurdism	æb.ˈsɜɹ.dɪ.zəm
absurdism	æb.ˈzɜɹ.dɪ.zəm
absurdist	æb.ˈsɜɹ.dɪst
absurdist	æb.ˈzɜɹ.dɪst
absurdity	æb.ˈsɜɹ.dɪ.ti
absurdity	æb.ˈzɜɹ.dɪ.ti
abubble	ə.ˈbʌ.bəl
abuilding	ə.ˈbɪl.dɪŋ
abulia	ə.ˈbyu.li.ə
abulia	ə.ˈbu.li.ə
abundance	ə.ˈbʌn.dəns
abundant	ə.ˈbʌn.dənt
abuse	ə.ˈbyuz
abuse	ə.ˈbyus
abusive	ə.ˈbyu.sɪv
abut	ə.ˈbʌt
abutilon	ə.ˈbyutl.ˌɒn
abutment	ə.ˈbʌt.mənt
abuttal	ə.ˈbʌtl
abutter	ə.ˈbʌ.təɹ
abuzz	ə.ˈbʌz
abvolt	æb.ˈvoʊlt
abvolt	ˈæb.ˌvoʊlt
abwatt	æb.ˈwɒt
abwatt	ˈæb.ˌwɒt
Abydos	ə.ˈbaɪ.dəs
aby	ə.ˈbaɪ
abysmal	ə.ˈbɪz.məl
abysm	ə.ˈbɪ.zəm
abyssal	ə.ˈbɪ.səl
abyss	ə.ˈbɪs
acacia	ə.ˈkeɪ.ʃə
academe	ˈæ.kə.ˌdim
academe	ˌæ.kə.ˈdim
academia	ˌæ.kə.ˈdi.mi.ə
academia	ˌæ.kə.ˈdi.myə
academia	ˌæ.kə.ˈdɛ.mi.ə
academia	ˌæ.kə.ˈdɛ.myə
academical	ˌæ.kə.ˈdɛ.mɪ.kəl
academic	ˌæ.kə.ˈdɛ.mɪk
academician	ˌæ.kə.də.ˈmɪ.ʃən
academician	ə.ˌkæ.də.ˈmɪ.ʃən
academicism	ˌæ.kə.ˈdɛ.mə.ˌsɪ.zəm
academism	ə.ˈkæ.də.ˌmɪ.zəm
academy	ə.ˈkæ.də.mi
acajou	ˈæ.kə.ˌʒu
acajou	ˈæ.kə.ˌdʒu
acaleph	ˈæ.kə.ˌlɛf
acanthocephalan	ə.ˌkæn.θə.ˈsɛ.fə.lən
acanthoid	ə.ˈkæn.θɔɪd
acanthous	ə.ˈkæn.θəs
acanthus	ə.ˈkæn.θəs
acapnia	ə.ˈkæp.ni.ə
acapnia	eɪ.ˈkæp.ni.ə
Acapulco	ˌæ.kə.ˈpʊl.koʊ
Acapulco	ˌɑ.kɑ.ˈpul.kɔ
acarbose	ˈæ.kɑɹ.ˌboʊs
acariasis	ˌæ.kə.ˈɹaɪ.ə.sɪs
acaricide	ə.ˈkæ.ɹə.ˌsaɪd
acaricide	ˈæ.kə.ɹə.ˌsaɪd
acarid	ˈæ.kə.ɹɪd
acari	ˈæ.kə.ˌɹaɪ
acarine	ˈæ.kə.ˌɹaɪn
acarine	ˈæ.kə.ˈɹin
acarine	ˈæ.kə.ˌɹɪn
acaroid	ˈæ.kə.ˌɹɔɪd
acarology	ˌæ.kə.ˈɹɒ.ləd.ʒi
acarpous	eɪ.ˈkɑɹ.pəs
acarus	ˈæ.kə.ɹəs
acatalectic	eɪ.ˌkætl.ˈɛk.tɪk
acaudal	eɪ.ˈkɔdl
acaulescent	ˌæ.kɔ.ˈlɛ.sənt
acaulescent	ˌeɪ.kɔ.ˈlɛ.sənt
accede	æk.ˈsid
accelerando	æk.ˌsɛ.lə.ˈɹæn.doʊ
accelerando	æk.ˌsɛ.lə.ˈɹɑn.doʊ
accelerando	ɑt.ˌtʃɛ.lɛ.ˈɹɑn.dɔ
accelerant	æk.ˈsɛ.lə.ɹənt
accelerate	æk.ˈsɛ.lə.ˌɹeɪt
acceleration	æk.ˌsɛ.lə.ˈɹeɪ.ʃən
accelerative	æk.ˈsɛ.lə.ˌɹeɪ.tɪv
accelerative	æk.ˈsɛ.lə.ɹə.tɪv
accelerator	æk.ˈsɛ.lə.ˌɹeɪ.təɹ
accelerometer	æk.ˌsɛ.lə.ˈɹɒ.mɪ.təɹ
accent	ˈæk.sɛnt
accent	æk.ˈsɛnt
accentor	æk.ˈsɛn.təɹ
accentor	ˈæk.sɛn.təɹ
accentual	æk.ˈsɛnt.ʃu.əl
accentuate	æk.ˈsɛnt.ʃu.ˌeɪt
accentuation	æk.ˌsɛnt.ʃu.ˈeɪ.ʃən
acceptable	æk.ˈsɛp.tə.bəl
acceptance	æk.ˈsɛp.təns
acceptant	æk.ˈsɛp.tənt
acceptation	ˌæk.sɛp.ˈteɪ.ʃən
accepted	æk.ˈsɛp.tɪd
acceptee	ˌæk.sɛp.ˈti
accepter	æk.ˈsɛp.təɹ
accept	æk.ˈsɛpt
accepting	æk.ˈsɛp.tɪŋ
acceptive	æk.ˈsɛp.tɪv
acceptor	æk.ˈsɛp.təɹ
accessary	æk.ˈsɛ.sə.ɹi
access	ˈæk.sɛs
accessible	æk.ˈsɛ.sə.bəl
accession	æk.ˈsɛ.ʃən
accessorial	ˌæk.sə.ˈsɔ.ɹi.əl
accessorial	ˌæk.sə.ˈsoʊ.ɹi.əl
accessorize	æk.ˈsɛ.sə.ˌɹɪz
accessory	æk.ˈsɛ.sə.ɹi
acciaccatura	ə.ˌtʃɑ.kə.ˈtʊ.ə.ɹə
acciaccatura	ɑt.ˌtʃɑk.kɑ.ˈtu.ɹɑ
accidence	ˈæk.sɪ.dəns
accidental	ˌæk.sɪ.ˈdɛntl
accident	ˈæk.sɪ.dənt
accidie	ˈæk.sɪ.di
accipiter	æk.ˈsɪ.pɪ.təɹ
accipitrine	æk.ˈsɪ.pɪ.tɹɪn
accipitrine	æk.ˈsɪp.ˌtɹaɪn
acclaim	ə.ˈkleɪm
acclamation	ˌæ.klə.ˈmeɪ.ʃən
acclimate	ˈæ.klə.ˌmeɪt
acclimate	ə.ˈklaɪ.mɪt
acclimatize	ə.ˈklaɪ.mə.ˌtaɪz
acclivity	ə.ˈklɪ.vɪ.ti
accolade	ˈæ.kə.ˌleɪd
accolade	ˈæ.kə.ˌlɑd
accolade	ˌæ.kə.ˈleɪd
accolade	ˌæ.kə.ˈlɑd
accommodate	ə.ˈkɒ.mə.ˌdeɪt
accommodating	ə.ˈkɒ.mə.ˌdeɪ.tɪŋ
accommodation	ə.ˌkɒ.mə.ˈdeɪ.ʃən
accommodative	ə.ˈkɒ.mə.ˌdeɪ.tɪv
accommodator	ə.ˈkɒ.mə.ˌdeɪ.təɹ
accompaniment	ə.ˈkʌm.pə.nɪ.mənt
accompaniment	ə.ˈkʌmp.nɪ.mənt
accompanist	ə.ˈkʌm.pə.nɪst
accompanist	ə.ˈkʌmp.nɪst
accompany	ə.ˈkʌm.pə.ni
accomplice	ə.ˈkɒm.plɪs
accomplished	ə.ˈkɒm.plɪʃt
accomplish	ə.ˈkɒm.plɪʃ
accomplishment	ə.ˈkɒm.plɪʃ.mənt
accordance	ə.ˈkɔɹdns
accordant	ə.ˈkɔɹdnt
accord	ə.ˈkɔɹd
according	ə.ˈkɔɹ.dɪŋ
accordingly	ə.ˈkɔɹ.dɪŋ.li
accordion	ə.ˈkɔɹ.di.ən
accordionist	ə.ˈkɔɹ.di.ə.nɪst
accosted	ə.ˈkɔ.stɪd
accosted	ə.ˈkɒ.stɪd
accost	ə.ˈkɔst
accost	ə.ˈkɒst
accouchement	ə.ˈkuʃ.mənt
accouchement	a.kuʃ.ˈmɑ̃
accoucheur	ˌæ.ku.ˈʃɜɹ
accoucheur	a.ku.ˈʃœɹ
accountability	ə.ˌkaʊn.tə.ˈbɪ.lɪ.ti
accountable	ə.ˈkaʊn.tə.bəl
accountancy	ə.ˈkaʊntn.si
accountant	ə.ˈkaʊntnt
account	ə.ˈkaʊnt
accounting	ə.ˈkaʊn.tɪŋ
accouter	ə.ˈku.təɹ
accouterment	ə.ˈku.təɹ.mənt
accouterment	ə.ˈku.tɹəɹ.mənt
accoutre	ə.ˈku.təɹ
accredited	ə.ˈkɹɛ.dɪ.tɪd
accredit	ə.ˈkɹɛ.dɪt
accrete	ə.ˈkɹit
accretion	ə.ˈkɹi.ʃən
accrual	ə.ˈkɹu.əl
accrue	ə.ˈkɹu
acculturate	ə.ˈkʌlt.ʃə.ˌɹeɪt
acculturation	ə.ˌkʌlt.ʃə.ˈɹeɪ.ʃən
accumbent	ə.ˈkʌm.bənt
accumulate	ə.ˈkyu.myə.ˌleɪt
accumulation	ə.ˌkyu.myə.ˈleɪ.ʃən
accumulative	ə.ˈkyu.myə.ˌleɪ.tɪv
accumulative	ə.ˈkyu.myə.ˌlə.tɪv
accumulator	ə.ˈkyu.myə.ˌleɪ.təɹ
accuracy	ˈæ.kyə.ɹə.si
accurate	ˈæ.kyə.ɹɪt
accursed	ə.ˈkɜɹ.sɪd
accursed	ə.ˈkɜɹst
accusal	ə.ˈkyu.zəl
accusation	ˌæ.kyʊ.ˈzeɪ.ʃən
accusative	ə.ˈkyu.zə.tɪv
accusatory	ə.ˈkyu.zə.ˌtɔ.ɹi
accusatory	ə.ˈkyu.zə.ˌtoʊ.ɹi
accused	ə.ˈkyuzd
accuse	ə.ˈkyuz
accuser	ə.ˈkyu.zəɹ
accustomed	ə.ˈkʌ.stəmd
accustom	ə.ˈkʌ.stəm
acedia	ə.ˈsi.di.ə
ace	eɪs
Aceldama	ə.ˈsɛl.də.mə
Aceldama	ə.ˈkɛl.də.mə
acellular	eɪ.ˈsɛ.lyə.ləɹ
acentric	eɪ.ˈsɛn.tɹɪk
acephalous	eɪ.ˈsɛ.fə.ləs
acequia	ə.ˈseɪ.kyə
acequia	ɑ.ˈsɛ.ky.ɑ
acerate	ˈæ.sə.ˌɹeɪt
acerate	ˈæ.sə.ɹɪt
acerbate	ˈæ.səɹ.ˌbeɪt
acerbate	ə.ˈsɜɹ.bɪt
acerb	ə.ˈsɜɹb
acerbic	ə.ˈsɜɹ.bɪk
acerbity	ə.ˈsɜɹ.bɪ.ti
acerola	ˌæ.sə.ˈɹoʊ.lə
acerose	ˈæ.sə.ˌɹoʊs
acerous	ˈæ.sə.ɹəs
acerous	eɪ.ˈsɪə.ɹəs
acervate	ə.ˈsɜɹ.vɪt
acervate	ə.ˈsɜɹ.veɪt
acervate	ˈæ.səɹ.ˌveɪt
acervulus	ə.ˈsɜɹ.vyə.ləs
acescent	ə.ˈsɛ.sənt
acetabulum	ˌæ.sɪ.ˈtæ.byə.ləm
acetaldehyde	ˌæ.sɪ.ˈtæl.də.ˌhaɪd
acetal	ˈæ.sɪ.ˌtæl
acetamide	ə.ˈsɛ.tə.ˌmaɪd
acetamide	ˌæ.sɪ.ˈtæ.maɪd
acetaminophen	ə.ˌsi.tə.ˈmɪ.nə.fən
acetaminophen	ˌæ.sɪ.tə.ˈmɪ.nə.fən
acetanilide	ˌæ.sɪ.ˈtænl.ˌaɪd
acetate	ˈæ.sɪ.ˌteɪt
acetazolamide	ə.ˌsi.tə.ˈzoʊ.lə.ˌmaɪd
acetazolamide	ə.ˌsi.tə.ˈzoʊ.lə.ˌmɪd
acetazolamide	ə.ˌsi.tə.ˈzɒ.lə.ˌmaɪd
acetazolamide	ˌæ.sɪ.tə.ˈzoʊ.lə.ˌmaɪd
acetic	ə.ˈsi.tɪk
acetic	ə.ˈsɛ.tɪk
acetify	ə.ˈsi.tə.ˌfaɪ
acetify	ə.ˈsɛ.tə.ˌfaɪ
acetin	ˈæ.sɪ.tɪn
acetone	ˈæ.sɪ.ˌtoʊn
acetonitrile	ˌæ.sɪ.toʊ.ˈnaɪ.tɹɪl
acetonitrile	ˌæ.sɪ.toʊ.ˈnaɪ.tɹil
acetonitrile	ə.ˌsi.toʊ.ˈnaɪ.tɹɪl
acetophenetidin	ə.ˌsi.toʊ.fə.ˈnɛ.tɪ.dɪn
acetophenetidin	ˌæ.sɪ.toʊ.fə.ˈnɛ.tɪ.dɪn
acetous	ˈæ.sɪ.təs
acetous	ə.ˈsi.təs
acetum	ə.ˈsi.təm
acetylate	ə.ˈsɛtl.ˌeɪt
acetylcholine	ə.ˌsitl.ˈkoʊ.lin
acetylcholine	ə.ˌsɛtl.ˈkoʊ.lin
acetylcholine	ˌæ.sɪtl.ˈkoʊ.lin
acetylene	ə.ˈsɛtl.ˌin
acetylene	ə.ˈsɛtl.ˌɪn
acetyl	ə.ˈsitl
acetyl	ə.ˈsɛtl
acetyl	ˈæ.sɪtl
acetylic	ˌæ.sɪ.ˈtɪ.lɪk
achalasia	ˌæ.kə.ˈleɪ.ʒə
achalasia	ˌæ.kə.ˈleɪ.ʒi.ə
achalasia	ˌæ.kə.ˈle.zi.ə
ache	eɪk
achene	eɪ.ˈkin
achene	ə.ˈkin
ach	ɑx
achieve	ə.ˈtʃiv
achievement	ə.ˈtʃiv.mənt
achillea	ˌæ.kə.ˈli.ə
achillea	ə.ˈkɪ.li.ə
Achilles	ə.ˈkɪ.liz
aching	ˈeɪ.kɪŋ
achiote	ˌɑt.ʃi.ˈoʊ.ti
achiote	ˌɑt.ʃi.ˈoʊ.teɪ
achiral	eɪ.ˈkaɪ.ɹəl
acholia	eɪ.ˈkoʊ.li.ə
achondrite	eɪ.ˈkɒn.dɹaɪt
achondroplasia	eɪ.ˌkɒn.dɹə.ˈpleɪ.ʒə
achondroplasia	eɪ.ˌkɒn.dɹə.ˈpleɪ.ʒi.ə
achondroplasia	eɪ.ˌkɒn.dɹə.ˈple.zi.ə
achoo	ɑ.ˈtʃu
achromat	ˈæ.kɹə.ˌmæt
achromatic	ˌæ.kɹə.ˈmæ.tɪk
achromatic	ˌeɪ.kɹə.ˈmæ.tɪk
achromatism	eɪ.ˈkɹoʊ.mə.ˌtɪ.zəm
achromatize	eɪ.ˈkɹoʊ.mə.ˌtaɪz
achromic	eɪ.ˈkɹoʊ.mɪk
Achtung	ˈɑx.tʊŋ
achy	ˈeɪ.ki
acicula	ə.ˈsɪ.kyə.lə
acicular	ə.ˈsɪ.kyə.ləɹ
aciculate	ə.ˈsɪ.kyə.lɪt
aciculate	ə.ˈsɪ.ky.ˌleɪt
aciculum	ə.ˈsɪ.kyə.ləm
acid-head	ˈæ.sɪd.ˌhɛd
acid	ˈæ.sɪd
acidic	ə.ˈsɪ.dɪk
acidify	ə.ˈsɪ.də.ˌfaɪ
acidimeter	ˌæ.sɪ.ˈdɪ.mɪ.təɹ
acidimetry	ˌæ.sɪ.ˈdɪ.mɪ.tɹi
acidity	ə.ˈsɪ.dɪ.ti
acidophil	ə.ˈsɪ.də.fɪl
acidophil	ˈæ.sɪ.də.fɪl
acidophilic	ə.ˌsɪ.də.ˈfɪ.lɪk
acidophilic	ˌæ.sɪ.də.ˈfɪ.lɪk
acidosis	ˌæ.sɪ.ˈdoʊ.sɪs
acidulate	ə.ˈsɪd.ʒə.ˌleɪt
acidulent	ə.ˈsɪd.ʒə.lənt
acidulous	ə.ˈsɪd.ʒə.ləs
acidy	ˈæ.sɪ.di
acierate	ˈæ.si.ə.ˌɹeɪt
aciform	ˈæ.sə.ˌfɔɹm
aciniform	ə.ˈsɪ.nə.ˌfɔɹm
acinous	ˈæ.sə.nəs
acinus	ˈæ.sə.nəs
ackee	ə.ˈki
acknowledged	æk.ˈnɒ.lɪdʒd
acknowledge	æk.ˈnɒ.lɪdʒ
acknowledgment	æk.ˈnɒ.lɪdʒ.mənt
acme	ˈæk.mi
acne	ˈæk.ni
acock	ə.ˈkɒk
acoelomate	eɪ.ˈsi.lə.ˌmeɪt
acoelomate	ˌeɪ.si.ˈloʊ.mɪt
acoelous	eɪ.ˈsi.ləs
acold	ə.ˈkoʊld
acolyte	ˈæ.kə.ˌlaɪt
aconite	ˈæ.kə.ˌnaɪt
acorn	ˈeɪ.kɔɹn
acorn	ˈeɪ.kəɹn
acoustic	ə.ˈku.stɪk
acoustician	ˌæ.kʊ.ˈstɪ.ʃən
acoustics	ə.ˈku.stɪks
acquaintance	ə.ˈkweɪntns
acquainted	ə.ˈkweɪn.tɪd
acquaint	ə.ˈkweɪnt
acquest	ə.ˈkwɛst
acquiesce	ˌæ.kwi.ˈɛs
acquiescence	ˌæ.kwi.ˈɛ.səns
acquiescent	ˌæ.kwi.ˈɛ.sənt
acquiree	ə.kwaɪ.əɹ.ˈi
acquire	ə.ˈkwaɪ.əɹ
